title,number of comments,rating
肖申克的救赎,986463,9.6
霸王别姬,716546,9.5
这个杀手不太冷,930439,9.4
阿甘正传,791184,9.4
美丽人生,462337,9.5
千与千寻,740158,9.2
泰坦尼克号,730689,9.2
辛德勒的名单,421478,9.4
盗梦空间,833212,9.3
机器人总动员,546397,9.3
海上钢琴师,644352,9.2
三傻大闹宝莱坞,746743,9.2
忠犬八公的故事,512922,9.2
放牛班的春天,499397,9.2
大话西游之大圣娶亲,544854,9.2
教父,375842,9.2
龙猫,460895,9.1
楚门的世界,514613,9.1
熔炉,298381,9.2
乱世佳人,293104,9.2
星际穿越,542289,9.2
触不可及,403894,9.1
无间道,444942,9.0
当幸福来敲门,591040,8.9
天堂电影院,331905,9.1
怦然心动,613985,8.9
十二怒汉,186540,9.4
搏击俱乐部,427485,9.0
少年派的奇幻漂流,626747,9.0
指环王3：王者无敌,307938,9.1
鬼子来了,252984,9.2
蝙蝠侠：黑暗骑士,356356,9.0
活着,297387,9.1
天空之城,361160,9.0
罗马假日,417035,8.9
大话西游之月光宝盒,438880,8.9
飞屋环游记,541705,8.9
疯狂动物城,563989,9.2
窃听风暴,243060,9.1
两杆大烟枪,291370,9.1
飞越疯人院,295477,9.0
控方证人,105563,9.6
闻香识女人,349190,8.9
海豚湾,192729,9.3
哈尔的移动城堡,382732,8.9
V字仇杀队,453007,8.8
辩护人,229111,9.1
死亡诗社,301416,8.9
教父2,202485,9.1
美丽心灵,326599,8.9
指环王2：双塔奇兵,289953,9.0
指环王1：魔戒再现,324374,8.9
情书,402714,8.8
饮食男女,216873,9.1
美国往事,187532,9.1
狮子王,302308,8.9
天使爱美丽,511270,8.7
钢琴家,215803,9.0
七宗罪,460769,8.7
被嫌弃的松子的一生,311578,8.9
小鞋子,149164,9.2
素媛,198721,9.1
致命魔术,367741,8.8
摔跤吧！爸爸,493842,9.1
勇敢的心,310061,8.8
音乐之声,246489,8.9
剪刀手爱德华,513885,8.7
本杰明·巴顿奇事,417287,8.7
低俗小说,356635,8.8
看不见的客人,353186,8.8
西西里的美丽传说,375432,8.7
黑客帝国,299827,8.8
拯救大兵瑞恩,255526,8.9
沉默的羔羊,375631,8.7
入殓师,333092,8.8
蝴蝶效应,405441,8.7
玛丽和马克思,241529,8.9
让子弹飞,661407,8.7
春光乍泄,263216,8.8
大闹天宫,108185,9.2
心灵捕手,288256,8.8
幽灵公主,249109,8.8
阳光灿烂的日子,286454,8.8
第六感,247542,8.8
末代皇帝,181880,8.9
重庆森林,350532,8.7
禁闭岛,380841,8.6
大鱼,266366,8.7
狩猎,138351,9.0
布达佩斯大饭店,333448,8.8
射雕英雄传之东成西就,290621,8.7
甜蜜蜜,243763,8.8
致命ID,336760,8.6
哈利·波特与魔法石,275424,8.7
一一,163894,8.9
阳光姐妹淘,283642,8.8
断背山,337023,8.6
告白,360244,8.7
上帝之城,164293,8.9
猫鼠游戏,241996,8.7
加勒比海盗,364577,8.6
摩登时代,94865,9.2
阿凡达,553489,8.6
穿条纹睡衣的男孩,156714,8.9
爱在黎明破晓前,232528,8.7
风之谷,184930,8.8
消失的爱人,375581,8.7
爱在日落黄昏时,208196,8.7
侧耳倾听,177529,8.8
超脱,181110,8.8
倩女幽魂,267233,8.6
红辣椒,142177,8.9
萤火虫之墓,212611,8.7
恐怖直播,234096,8.7
驯龙高手,298592,8.7
菊次郎的夏天,190795,8.7
幸福终点站,233959,8.6
岁月神偷,317978,8.6
借东西的小人阿莉埃蒂,226943,8.7
神偷奶爸,395908,8.5
七武士,80408,9.2
小森林 夏秋篇,138434,8.9
喜剧之王,330760,8.5
海洋,101464,9.0
真爱至上,326970,8.5
杀人回忆,218037,8.6
电锯惊魂,206868,8.7
谍影重重3,187721,8.7
贫民窟的百万富翁,408572,8.5
雨人,216927,8.6
记忆碎片,290230,8.5
东邪西毒,260703,8.6
喜宴,145869,8.8
怪兽电力公司,251725,8.6
疯狂原始人,384335,8.7
黑天鹅,432286,8.5
燃情岁月,152642,8.7
英雄本色,173402,8.7
虎口脱险,110614,8.9
卢旺达饭店,124461,8.8
恋恋笔记本,293812,8.5
傲慢与偏见,313933,8.4
7号房的礼物,183625,8.7
猜火车,255638,8.5
魂断蓝桥,133355,8.8
海边的曼彻斯特,198501,8.6
穿越时空的少女,191351,8.6
教父3,135497,8.8
哈利·波特与死亡圣器(下),283942,8.6
萤火之森,164735,8.7
完美的世界,83781,9.0
纵横四海,152042,8.7
玩具总动员3,198217,8.8
雨中曲,95840,8.9
小森林 冬春篇,120474,8.9
荒蛮故事,145768,8.8
花样年华,255574,8.5
二十二,94242,8.8
我是山姆,107620,8.8
超能陆战队,383219,8.6
唐伯虎点秋香,341075,8.4
时空恋旅人,208343,8.6
人工智能,195103,8.6
浪潮,136317,8.7
蝙蝠侠：黑暗骑士崛起,303559,8.6
冰川时代,280060,8.4
香水,283888,8.4
朗读者,284516,8.5
心迷宫,168477,8.6
罗生门,128859,8.7
追随,84138,8.9
一次别离,136088,8.7
撞车,178239,8.6
爆裂鼓手,245084,8.6
未麻的部屋,101234,8.8
可可西里,132676,8.7
战争之王,179042,8.5
地球上的星星,87613,8.8
梦之安魂曲,114450,8.7
恐怖游轮,334501,8.3
达拉斯买家俱乐部,172880,8.6
被解救的姜戈,265708,8.5
阿飞正传,187289,8.5
牯岭街少年杀人事件,109726,8.7
谍影重重,196573,8.5
谍影重重2,163300,8.5
碧海蓝天,109422,8.7
魔女宅急便,199931,8.5
血战钢锯岭,323303,8.7
惊魂记,85110,8.9
忠犬八公物语,61408,9.0
秒速5厘米,305519,8.3
再次出发之纽约遇见你,174344,8.5
青蛇,226574,8.4
海盗电台,167737,8.6
头脑特工队,233204,8.7
哪吒闹海,82478,8.9
房间,158344,8.8
东京物语,51679,9.2
绿里奇迹,108752,8.7
末路狂花,106673,8.7
终结者2：审判日,143865,8.6
勇闯夺命岛,144526,8.5
源代码,416388,8.3
这个男人来自地球,185138,8.5
新龙门客栈,187741,8.5
黑客帝国3：矩阵革命,159163,8.5
卡萨布兰卡,127060,8.6
模仿游戏,260876,8.5
荒野生存,129902,8.6
变脸,218179,8.4
迁徙的鸟,52418,9.1
城市之光,45056,9.2
E.T. 外星人,155728,8.5
美国丽人,188680,8.4
发条橙,188855,8.4
黄金三镖客,52234,9.1
无耻混蛋,227066,8.4
初恋这件小事,470010,8.3
英国病人,176273,8.4
燕尾蝶,109064,8.6
一个叫欧维的男人决定去死,119654,8.7
爱在午夜降临前,118459,8.8
你的名字。,475334,8.4
非常嫌疑犯,118320,8.6
叫我第一名,110440,8.6
穆赫兰道,238603,8.3
请以你的名字呼唤我,137603,8.8
勇士,88777,8.9
无敌破坏王,187248,8.6
疯狂的石头,320043,8.3
无人知晓,56252,9.0
上帝也疯狂,97451,8.6
国王的演讲,345232,8.3
血钻,134042,8.5
步履不停,73286,8.8
蓝色大门,275373,8.3
枪火,101086,8.6
大卫·戈尔的一生,94404,8.6
彗星来的那一夜,179728,8.4
爱·回家,47927,9.0
遗愿清单,130476,8.5
我爱你,58202,9.0
千钧一发,87052,8.7
荒岛余生,136014,8.5
麦兜故事,129521,8.5
暖暖内含光,146420,8.4
曾经,204953,8.3
月球,145457,8.5
黑鹰坠落,114114,8.5
